"Hours","Scores"
"3.0","75"
"1.5","50"
"4.0","90"
"2.2","24"
"1.0","15"
"2.3","67"
"3.5","75"
"0.0","17"
"3.5","88"
"0.4","37"
"1.0","48"
"1.0","22"
"3.5","78"
"0.4","28"
"2.0","36"
"1.4","41"
"4.5","90"
"0.3","14"
"1.2","55"
"2.5","65"
"2.4","45"
"3.0","34"
"2.5","78"
"1.0","17"
"1.3","54"
"1.5","55"
"1.5","52"
"2.0","45"
"2.8","64"
"3.0","68"
"1.0","28"
"4.0","74"
"3.2","90"
"1.2","18"
"2.0","34"
"1.4","37"
"1.2","17"
"2.2","42"
"2.7","58"
"3.2","69"
"3.4","71"
"1.6","35"
"1.1","16"
"1.8","48"
"1.1","22"
"0.3","21"
"2.1","50"
"2.2","48"
"1.6","28"
"6.2","96"
"2.3","61"
"1.7","17"
"1.1","16"
"3.8","75"
"4.0","82"
"2.6","48"
"3.0","57"
"4.7","69"
"2.0","42"
